"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"
59	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	8	"Present"
60	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	6	"Absent"
61	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	24	"Present"
62	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	3	"Absent"
63	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	13	"Present"
64	"WITnumErr_bw"	24	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	24	"Absent"
65	"WITnumErr_bw"	24	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	23	"Present"
66	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	2	"Absent"
67	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	4	"Present"
68	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	1	"Absent"
69	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	7	"Present"
70	"WITnumErr_bw"	23	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	18	"Absent"
71	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	8	"Present"
72	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	1	"Absent"
73	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	8	"Present"
74	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	12	"Absent"
75	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	24	"Present"
76	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	14	"Absent"
77	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	13	"Present"
78	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	11	3	"Absent"
79	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	1	"Present"
80	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	12	"Absent"
81	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	12	"Present"
82	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	20	"Absent"
83	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	5	"Present"
84	"WITnumErr_bw"	5	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	2	"Absent"
85	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	2	"Present"
86	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	3	"Absent"
87	"WITnumErr_bw"	33	"black_con"	"WIT"	"congruent"	"black"	"gun"	29	4	"Present"
88	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	4	"Absent"
89	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	13	"Present"
90	"WITnumErr_bw"	27	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	25	"Absent"
91	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	7	"Present"
92	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	14	"Absent"
93	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	17	"Present"
94	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	15	"Absent"
95	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	1	"Present"
96	"WITnumErr_bw"	5	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	4	"Absent"
97	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	13	"Present"
98	"WITnumErr_bw"	31	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	23	"Absent"
99	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	16	"Present"
100	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	6	"Absent"
101	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	24	"Present"
102	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	7	"Absent"
103	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	0	"Present"
104	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	7	"Absent"
105	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	8	"Present"
106	"WITnumErr_bw"	35	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	26	"Absent"
107	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	13	"Present"
108	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	4	"Absent"
109	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	0	"Absent"
110	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	18	"Present"
111	"WITnumErr_bw"	1	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	1	"Absent"
112	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	14	"Present"
113	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Present"
114	"WITnumErr_bw"	5	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	1	"Absent"
115	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	16	"Present"
116	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	7	"Absent"
117	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	9	"Present"
118	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	16	"Absent"
119	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Present"
120	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	17	"Absent"
121	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	6	"Present"
122	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	7	"Absent"
123	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	23	3	"Present"
124	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	11	"Absent"
125	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	8	"Present"
126	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	3	"Absent"
127	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	1	"Present"
128	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	1	"Absent"
129	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	4	"Present"
130	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	8	"Absent"
131	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	10	"Present"
132	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	6	"Absent"
133	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	5	"Present"
134	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	6	"Absent"
135	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	22	"Present"
136	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	5	"Absent"
137	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	16	"Present"
138	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	4	"Present"
139	"WITnumErr_bw"	28	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	18	"Absent"
140	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	5	"Absent"
141	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	2	"Present"
142	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	9	"Absent"
143	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	10	"Present"
144	"WITnumErr_bw"	27	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	26	"Absent"
145	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	17	"Present"
146	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	5	"Absent"
147	"WITnumErr_bw"	29	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	29	"Present"
148	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	19	"Absent"
149	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	12	"Present"
150	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	9	"Absent"
151	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	5	"Present"
152	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	11	"Absent"
153	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	2	"Present"
154	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	15	"Absent"
155	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	11	"Present"
156	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	8	"Absent"
157	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	6	"Present"
158	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Absent"
159	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	15	"Present"
160	"WITnumErr_bw"	30	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	23	"Absent"
161	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	7	"Present"
162	"WITnumErr_bw"	29	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	25	"Absent"
163	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	14	"Present"
164	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	2	"Absent"
165	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	4	"Present"
166	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	8	"Absent"
167	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	2	"Present"
168	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	10	"Absent"
169	"WITnumErr_bw"	38	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	37	"Present"
170	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	6	"Absent"
171	"WITnumErr_bw"	30	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	30	"Present"
172	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	13	"Absent"
173	"WITnumErr_bw"	23	"black_con"	"WIT"	"congruent"	"black"	"gun"	15	8	"Present"
174	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	8	"Absent"
175	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	4	"Present"
176	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	4	"Absent"
177	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	5	"Present"
178	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	2	"Absent"
179	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	11	"Present"
180	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	10	11	"Absent"
181	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	7	"Present"
182	"WITnumErr_bw"	34	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	22	"Absent"
183	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	10	"Present"
184	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	3	"Absent"
185	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	9	"Present"
186	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	8	"Absent"
187	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	19	"Present"
188	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	3	"Absent"
189	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	11	"Present"
190	"WITnumErr_bw"	23	"black_con"	"WIT"	"congruent"	"black"	"gun"	8	15	"Absent"
191	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	14	"Present"
192	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	21	"Absent"
193	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	16	"Present"
194	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	8	"Absent"
195	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	14	"Present"
196	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	3	"Absent"
197	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	18	"Present"
198	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	13	"Absent"
199	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	2	"Present"
200	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	5	"Absent"
201	"WITnumErr_bw"	5	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	1	"Present"
202	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	15	"Absent"
203	"WITnumErr_bw"	22	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	9	"Present"
204	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	12	"Absent"
205	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	0	"Present"
206	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	23	"Absent"
1	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
2	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	14	"Absent"
3	"WITnumErr_ww"	37	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	33	"Present"
4	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	6	"Absent"
5	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	5	"Present"
6	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	7	"Absent"
7	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
8	"WITnumErr_ww"	12	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	3	"Absent"
9	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
10	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	15	"Absent"
11	"WITnumErr_ww"	14	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	6	"Present"
12	"WITnumErr_ww"	28	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	22	"Absent"
13	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	8	"Present"
14	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	12	"Absent"
15	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	19	"Present"
16	"WITnumErr_ww"	24	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	21	"Absent"
17	"WITnumErr_ww"	26	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	15	"Present"
18	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	10	"Absent"
19	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
20	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	14	"Absent"
21	"WITnumErr_ww"	9	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	6	"Present"
22	"WITnumErr_ww"	29	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	23	"Absent"
23	"WITnumErr_ww"	23	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	8	15	"Present"
24	"WITnumErr_ww"	14	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	10	"Absent"
25	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	11	"Present"
26	"WITnumErr_ww"	18	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	11	"Absent"
27	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	10	9	"Present"
28	"WITnumErr_ww"	16	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	15	"Absent"
29	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	19	"Present"
30	"WITnumErr_ww"	31	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	25	"Absent"
31	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
32	"WITnumErr_ww"	28	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	24	"Absent"
33	"WITnumErr_ww"	33	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	11	22	"Present"
34	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	15	"Absent"
35	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	6	"Present"
36	"WITnumErr_ww"	25	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	18	"Absent"
37	"WITnumErr_ww"	8	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	6	"Present"
38	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	14	"Absent"
39	"WITnumErr_ww"	8	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	8	"Present"
40	"WITnumErr_ww"	1	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	0	1	"Absent"
41	"WITnumErr_ww"	21	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	3	18	"Present"
42	"WITnumErr_ww"	2	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	0	"Absent"
43	"WITnumErr_ww"	9	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	1	8	"Present"
44	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	7	13	"Absent"
45	"WITnumErr_ww"	8	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	6	"Present"
46	"WITnumErr_ww"	15	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	13	"Absent"
47	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	14	"Present"
48	"WITnumErr_ww"	23	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	12	11	"Absent"
49	"WITnumErr_ww"	11	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	6	5	"Absent"
50	"WITnumErr_ww"	19	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	2	17	"Present"
51	"WITnumErr_ww"	NA	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	NA	NA	"Present"
52	"WITnumErr_ww"	20	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	11	"Absent"
53	"WITnumErr_ww"	13	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	4	9	"Present"
54	"WITnumErr_ww"	26	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	5	21	"Absent"
55	"WITnumErr_ww"	17	"white_incon"	"WIT"	"incongruent"	"white"	"gun"	9	8	"Present"
